,location_id,FIPS,location_name,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
0,102,0,United States of America,,,,,,,,,,,,
1,523,1,Alabama,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30
2,524,2,Alaska,2020-03-28,,2020-03-28,2020-04-24,2020-03-16,,2020-03-24,2020-05-22,2020-03-17,2020-05-22,2020-03-28,2020-04-24
3,525,4,Arizona,,,2020-03-30,2020-05-16,2020-03-16,,2020-03-30,2020-05-16,2020-03-30,2020-05-16,,
4,526,5,Arkansas,,,,,2020-03-17,2020-08-24,2020-03-27,2020-06-18,2020-03-19,,,
5,527,6,California,,,2020-03-19,,2020-03-19,,2020-03-11,,2020-03-19,,2020-03-19,
6,528,8,Colorado,,,2020-03-26,2020-05-09,2020-03-23,,2020-03-19,,2020-03-17,,2020-03-26,2020-05-09
7,529,9,Connecticut,,,,,2020-03-17,,2020-03-12,,2020-03-16,,2020-03-23,2020-05-20
8,530,10,Delaware,,,2020-03-24,2020-06-01,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-24,2020-05-08
9,531,11,District of Columbia,,,2020-03-30,2020-05-29,2020-03-16,,2020-03-13,,2020-03-16,,2020-03-25,2020-05-29
10,532,12,Florida,,,2020-04-03,2020-05-18,2020-03-17,,2020-04-03,2020-06-05,2020-03-17,2020-09-25,,
11,533,13,Georgia,,,2020-04-03,,2020-03-18,,2020-03-24,,2020-03-24,,,
12,534,15,Hawaii,,,2020-03-25,2020-06-10,2020-03-19,,2020-03-17,,2020-03-17,,2020-03-25,2020-05-01
13,535,16,Idaho,,,2020-03-25,2020-05-01,2020-03-23,,2020-03-25,2020-05-01,2020-03-25,2020-06-13,2020-03-25,2020-05-01
14,536,17,Illinois,,,2020-03-21,2020-05-29,2020-03-17,,2020-03-13,,2020-03-16,,2020-03-21,2020-05-01
15,537,18,Indiana,,,2020-03-25,2020-05-18,2020-03-19,,2020-03-12,,2020-03-16,2020-09-26,2020-03-24,2020-05-18
16,538,19,Iowa,,,,,2020-04-04,,2020-03-17,2020-06-12,2020-03-17,2020-10-16,2020-03-17,2020-05-08
17,539,20,Kansas,,,2020-03-30,2020-05-04,2020-03-17,,2020-03-17,2020-05-22,2020-03-30,2020-06-08,,
18,540,21,Kentucky,,,,,2020-03-20,,2020-03-19,,2020-03-16,2020-06-29,2020-03-26,2020-05-11
19,541,22,Louisiana,,,2020-03-23,2020-05-15,2020-03-16,,2020-03-13,2020-05-15,2020-03-17,,2020-03-22,2020-05-01
20,542,23,Maine,,,2020-04-02,2020-05-31,2020-03-16,,2020-03-18,,2020-03-18,,2020-03-25,2020-05-01
21,543,24,Maryland,,,2020-03-30,2020-05-15,2020-03-16,,2020-03-16,2020-06-10,2020-03-16,,2020-03-23,2020-05-15
22,544,25,Massachusetts,,,,,2020-03-17,,2020-03-13,,2020-03-17,,2020-03-24,2020-05-18
23,545,26,Michigan,,,2020-03-24,2020-06-01,2020-03-16,,2020-03-13,,2020-03-16,,2020-03-23,2020-05-07
24,546,27,Minnesota,,,2020-03-28,2020-05-18,2020-03-18,,2020-03-28,,2020-03-17,2020-06-10,,
25,547,28,Mississippi,,,2020-04-03,2020-04-27,2020-03-19,,2020-03-24,,2020-03-24,2020-06-01,2020-04-03,2020-04-27
26,548,29,Missouri,,,2020-04-06,2020-05-15,2020-03-23,,2020-03-23,2020-05-04,2020-03-23,2020-06-16,,
27,549,30,Montana,,,2020-03-26,2020-04-26,2020-03-15,,2020-03-24,2020-06-01,2020-03-20,2020-06-01,2020-03-26,2020-05-01
28,550,31,Nebraska,,,,,2020-04-02,,2020-03-16,,2020-03-19,2020-07-06,,
29,551,32,Nevada,,,2020-03-31,2020-05-09,2020-03-16,,2020-03-24,,2020-03-18,,2020-03-21,2020-05-09
30,552,33,New Hampshire,,,2020-03-27,2020-06-16,2020-03-16,,2020-03-16,,2020-03-16,2020-06-29,2020-03-28,2020-05-11
31,553,34,New Jersey,,,2020-03-21,2020-06-09,2020-03-18,,2020-03-16,,2020-03-16,,2020-03-21,2020-05-02
32,554,35,New Mexico,,,,,2020-03-13,,2020-03-12,,2020-03-16,,2020-03-24,2020-05-15
33,555,36,New York,,,2020-03-22,2020-06-08,2020-03-18,,2020-03-12,,2020-03-16,,2020-03-22,2020-06-08
34,556,37,North Carolina,,,2020-03-30,2020-05-08,2020-03-14,,2020-03-14,,2020-03-17,,2020-03-30,2020-05-08
35,557,38,North Dakota,,,,,2020-03-16,,,,2020-03-20,,,
36,558,39,Ohio,,,2020-03-23,2020-05-20,2020-03-16,,2020-03-12,,2020-03-15,,2020-03-23,2020-05-04
37,559,40,Oklahoma,,,,,2020-03-17,,2020-03-24,2020-05-24,2020-04-01,2020-06-01,2020-04-01,2020-04-24
38,560,41,Oregon,,,2020-03-23,2020-06-19,2020-03-16,,2020-03-12,,2020-03-17,,,
39,561,42,Pennsylvania,,,2020-04-01,2020-06-05,2020-03-17,,2020-04-01,2020-09-14,2020-03-18,2020-07-03,2020-03-23,2020-05-08
40,562,44,Rhode Island,,,2020-03-28,2020-05-09,2020-03-16,,2020-03-17,,2020-03-17,,,
41,563,45,South Carolina,,,2020-04-07,2020-05-04,2020-03-16,,2020-03-18,,2020-03-18,2020-08-03,,
42,564,46,South Dakota,,,,,2020-03-16,,2020-04-06,2020-04-28,,,,
43,565,47,Tennessee,,,2020-04-02,2020-05-26,2020-03-20,,2020-03-23,,2020-03-23,,2020-04-01,2020-05-26
44,566,48,Texas,,,2020-04-02,2020-05-01,2020-03-19,,2020-03-21,2020-06-04,2020-03-21,,,
45,567,49,Utah,,,,,2020-03-16,,2020-03-19,2020-05-01,2020-03-19,,,
46,568,50,Vermont,,,2020-03-24,2020-05-15,2020-03-18,,2020-03-13,,2020-03-17,,2020-03-25,2020-05-04
47,569,51,Virginia,,,2020-03-30,2020-06-05,2020-03-16,,2020-03-15,,2020-03-17,,2020-03-24,2020-05-15
48,570,53,Washington,,,2020-03-23,2020-07-03,2020-03-13,,2020-03-11,,2020-03-16,,2020-03-25,2020-07-03
49,571,54,West Virginia,,,2020-03-25,2020-05-04,2020-03-14,,2020-03-24,,2020-03-18,,2020-03-24,2020-05-04
50,572,55,Wisconsin,,,2020-03-25,2020-05-13,2020-03-18,,2020-03-17,,2020-03-17,,2020-03-25,2020-05-11
51,573,56,Wyoming,,,,,2020-03-19,,2020-03-20,,2020-03-19,2020-05-15,,
